"","Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"295","Liver","Organismal Systems","Environmental adaptation","mmu04710","Circadian rhythm","29/5023","34/9577",0.852941176470588,1.62624281247438,3.8416420429346,5.96032899165828e-05,0.000241982468992981,9.00743286564262e-05,"11865/26965/103583/18143/19883/12234/20893/27373/108097/108099/56438/18030/105787/108079/19079/12952/104318/19885/12953/18627/50789/241113/225998/18626/217166/353187/12753/21402/79362",29
"296","Liver","Human Diseases","Cancer: specific types","mmu05222","Small cell lung cancer","68/5023","94/9577",0.723404255319149,1.37926389671342,3.88069667942561,5.96188691721838e-05,0.000241982468992981,9.00743286564262e-05,"20183/12443/14268/18035/218772/22034/23928/16774/22033/22642/17187/16780/17869/12048/74769/13557/19697/16399/12828/18708/16150/20181/16410/22031/19211/107986/226519/20182/16773/18706/12448/11798/16151/12827/18033/12826/13063/17873/12571/22032/18707/13555/23882/22030/16772/22029/19645/66197/11796/12367/18126/12576/242705/12028/16777/16412/16403/12371/16782/14083/27015/624855/12829/11651/11797/14198/12675/18710",68
"297","Liver","Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","90/5023","130/9577",0.692307692307692,1.31997427219406,3.85759760160125,6.6262691136025e-05,0.000265821260952658,9.89479598359247e-05,"211429/12323/108058/14063/171382/26399/16438/12325/13109/226105/20779/78390/16180/18754/13098/72082/224129/100043108/15558/18795/26415/193034/432530/74769/18442/26397/210044/16439/18049/434233/18708/11515/19045/16000/11419/18750/16177/271844/14682/14683/19047/18751/74519/18706/11514/18803/22368/12314/16176/58170/18211/15465/18753/18048/666168/18707/26419/385643/19046/18796/18755/433247/18783/11418/226143/18761/234779/63873/11513/13095/100066/26420/16644/13117/18749/13099/100040843/13096/13119/18798/26416/545288/329502/18747/18752/18797/404195/277753/18710/16440",90
"298","Liver","Organismal Systems","Endocrine system","mmu04927","Cortisol synthesis and secretion","54/5023","72/9577",0.75,1.42997212821023,3.84598544888347,6.81460053422745e-05,0.000270234159115916,0.00010059059469761,"16835/12289/16438/18514/77037/224129/13074/20778/18795/432530/14672/15496/210044/11607/13072/208677/16439/208647/18584/100043456/11515/11606/320024/16527/78284/14682/15492/14683/11514/26423/17200/20683/12288/15494/231991/18796/109305/11513/18749/218461/12291/13079/20845/239556/18798/58226/15493/11909/12292/18747/12915/18797/16440/15495",54
"299","Liver","Organismal Systems","Endocrine system","mmu04925","Aldosterone synthesis and secretion","74/5023","104/9577",0.711538461538462,1.35664022419945,3.84043456480202,7.10416888851827e-05,0.000278515712106682,0.000103673278038185,"12323/108058/16835/12289/16438/12325/11941/227541/18754/224129/20778/18795/432530/14672/101540/15496/210044/11607/208677/16439/208647/67972/100043456/11515/11606/11931/16527/78284/18750/320707/14682/15492/14683/18751/11514/12314/18227/269060/17200/16890/232975/381290/12288/15494/75292/231871/231991/215303/11928/18796/11908/109305/223604/11513/18749/98660/12291/13079/20845/239556/18798/16521/58226/15493/11909/12292/18747/12915/67821/18752/18797/16440/207728/15495",74
"300","Liver","Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","85/5023","122/9577",0.69672131147541,1.32838940871989,3.83367625651413,7.32585414308538e-05,0.000283979739254433,0.000105707179829263,"22325/19054/235542/18035/21682/12487/56637/26410/26415/19264/74769/18036/19697/26932/16183/13383/14784/26417/18708/110157/20663/108723/16150/14360/19052/16797/52432/22324/26931/72930/12540/20662/226849/73699/12504/18706/18607/18803/208650/12042/16476/18481/16151/70584/14281/18033/22637/12477/240354/18707/26419/19055/18761/57257/11848/53859/26420/224105/12503/19058/19247/16428/17974/16653/19053/18479/18021/26416/11651/21947/19057/15461/71978/12675/214230/269643/18018/26413/19059/26409/54167/18710/19419/17973/16153",85
"301","Liver","Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","48/5023","63/9577",0.761904761904762,1.45267009849928,3.78571271370664,8.74148199976912e-05,0.000331407834057181,0.000123361573623115,"110695/116939/233549/231510/28169/225010/11997/67800/67916/15450/16891/227333/104418/193742/68393/16956/14732/67512/23945/64898/14245/11669/235582/11671/14187/380921/215456/18946/56752/102247/56077/58810/225913/14933/320127/218121/19012/68262/110524/69923/14626/11677/13350/110197/72535/67216/52123/64899",48
"302","Liver","Organismal Systems","Endocrine system","mmu04929","GnRH secretion","48/5023","63/9577",0.761904761904762,1.45267009849928,3.78571271370664,8.74148199976912e-05,0.000331407834057181,0.000123361573623115,"12289/16438/242425/280287/18795/140492/14672/74769/16439/26417/18708/110157/18750/15168/14682/18751/18706/22066/109689/12288/18707/15166/18796/140493/16534/16514/54393/12291/16653/12640/239556/18798/16522/16521/58226/11651/12292/22067/15165/15461/22063/18752/18797/26413/20750/14714/18710/16440",48
"303","Liver","Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","87/5023","126/9577",0.69047619047619,1.31648227676498,3.75554465116072,0.000101354518006881,0.000380079442525804,0.000141478846645761,"13244/19054/235542/208449/18754/18805/545975/18795/26408/26415/230379/18762/74769/14739/19697/26932/14678/26417/241447/74442/13609/18708/110157/19878/14360/11886/81535/18750/19052/19211/52432/14682/26931/72930/226849/14673/13611/73699/18751/20397/12122/20773/18706/18607/94226/18033/21937/76893/20597/54447/18707/26419/104725/385643/22030/18796/70059/14677/13610/11848/26420/12028/18201/14127/16644/11539/170758/619326/228677/16653/19053/18798/26416/11651/11542/15461/71978/14679/18752/18797/269643/71609/26413/66183/171168/18710/71949",87
"304","Liver","Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse","93/5023","136/9577",0.683823529411765,1.30379811689757,3.74733636469693,0.000104733817164787,0.000387221221802819,0.000144137266391896,"11865/12323/791260/108058/12289/16438/12325/14701/19054/235542/12286/56637/14680/14811/224129/18795/26415/26932/13491/14681/14678/208677/16439/208647/110877/434233/13488/19045/78284/14708/66066/18750/19052/68566/52432/14682/26931/72930/16574/226849/14683/19047/73699/18751/109689/12314/12288/14700/14281/231991/26419/19046/13195/19055/18796/14697/16572/14677/12846/109731/26420/18749/606496/19049/14706/14688/21823/12287/14693/19053/18798/16522/26416/16521/11651/11909/13162/14812/12753/64337/19057/71978/18747/12915/14679/18752/18797/269643/53623/14800/20265/16440/14696",93
"305","Liver","Human Diseases","Neurodegenerative disease","mmu05017","Spinocerebellar ataxia","96/5023","141/9577",0.680851063829787,1.29813072631851,3.74541092540799,0.000105503753186855,0.000387221221802819,0.000144137266391896,"16438/20238/12286/78943/641340/14813/14811/26440/19883/20239/18795/215999/170483/26408/56208/19170/13131/74769/16439/105675/18708/54138/225326/19699/73333/11938/228361/29869/56717/26443/18750/19177/14682/75669/22433/18751/18706/329015/80912/12421/67089/22335/229906/233871/20683/26446/226153/68118/74781/13063/100504663/19664/18707/65115/26419/17463/22030/18796/67151/20743/114896/237336/22333/26441/74143/52639/26420/11740/22241/19185/22359/67134/23996/20422/19166/66413/53313/69597/71722/14810/18798/69077/20190/11651/19167/14812/52335/18752/18797/22065/53623/22334/18710/14800/16440/67013",96
